CA - All Homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,,Decreasing values (%),,,,Sold for loss (%),,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Increasing values (%),,,,Sold for gain (%),,,,Foreclosure re-sales (%),,,,Sold in past year (%),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,,Rent estimate / sq. ft. ($),,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Oakdale,city,All Homes,"$366,200",0.8%,3.4%,8.5%,10.0%,2.6%,4.4%,--0.6%,--3.6%,0.5%,---,---,---,---,13.8%,0.1%,2.9%,--3.4%,$207,0.5%,3.0%,9.5%,3.0%,--0.6%,1.0%,--0.4%,"$393,900",--0.0%,3.7%,2.7%,---,---,---,---,92.8%,0.5%,6.2%,0.8%,---,---,---,---,---,---,---,---,5.6%,1.0%,--2.2%,--3.2%,$201,--1.2%,--1.1%,6.9%,---,---,---,---,---,---,---,---,---,---,---,---,"$1,599",--0.2%,--0.8%,4.9%,$1.00,--0.2%,--0.4%,4.8%
Oakland,city,All Homes,"$760,200",0.5%,3.4%,12.6%,15.3%,5.3%,6.5%,--4.3%,--3.5%,0.2%,---,---,---,---,5.2%,1.9%,1.3%,--0.4%,$550,0.9%,4.2%,14.8%,5.1%,--0.6%,0.7%,0.5%,"$649,000",6.5%,8.3%,8.7%,---,---,---,---,90.5%,6.1%,4.9%,0.2%,---,---,---,---,3.4%,0.3%,--1.6%,--2.4%,3.3%,--7.4%,--8.6%,--27.7%,$485,1.4%,3.0%,8.3%,"$2,800",0.0%,--5.1%,--1.8%,$2.59,2.4%,0.6%,5.1%,1.581,0.3%,--0.0%,0.5%,"$3,079",0.2%,0.2%,3.5%,$2.45,0.2%,0.6%,3.9%
Oakley,city,All Homes,"$466,400",1.7%,4.3%,10.0%,14.4%,2.8%,3.2%,--1.4%,--2.5%,1.7%,---,---,---,---,9.7%,2.9%,4.1%,5.6%,$262,1.2%,3.1%,9.6%,---,---,---,---,"$469,000",0.0%,0.0%,4.7%,---,---,---,---,94.8%,3.1%,5.1%,--3.2%,---,---,---,---,5.7%,0.4%,1.7%,--3.3%,5.3%,--3.4%,--3.8%,--14.7%,$247,--0.2%,1.0%,9.9%,"$2,200",0.9%,0.1%,3.5%,---,---,---,---,3.188,1.4%,1.8%,1.7%,"$2,341",0.0%,1.0%,6.1%,$1.33,0.2%,1.1%,5.6%
Oceanside,city,All Homes,"$534,700",0.7%,2.9%,11.2%,9.3%,3.0%,3.8%,--0.6%,--3.1%,0.7%,---,---,---,---,16.2%,2.4%,4.6%,8.6%,$328,0.9%,2.8%,10.4%,1.9%,0.1%,--0.7%,0.0%,"$549,900",1.9%,3.8%,10.2%,"$507,800",1.2%,1.2%,6.9%,94.2%,1.0%,5.9%,--0.2%,---,---,---,---,3.4%,0.4%,0.5%,--1.1%,5.4%,0.9%,2.2%,--8.2%,$326,--0.3%,0.6%,5.7%,"$2,450",6.1%,6.8%,7.2%,$1.73,1.9%,5.5%,6.8%,0.652,--0.1%,--0.1%,--0.1%,"$2,456",0.0%,0.4%,3.5%,$1.64,0.0%,0.5%,5.0%
Oildale,city,All Homes,"$148,200",0.8%,2.3%,7.0%,10.3%,--0.9%,15.7%,--0.6%,--5.2%,5.4%,---,---,---,---,---,---,---,---,$119,0.8%,3.5%,9.2%,---,---,---,---,"$142,500",--5.0%,5.6%,7.4%,---,---,---,---,75.6%,--0.1%,6.8%,--3.2%,---,---,---,---,10.9%,--0.5%,4.9%,--0.7%,6.7%,1.7%,2.6%,6.8%,$124,--0.9%,9.4%,9.2%,$960,--1.3%,1.3%,6.9%,$0.96,0.7%,1.2%,4.2%,5.124,1.1%,--1.1%,2.9%,"$1,125",0.0%,1.4%,3.2%,$0.92,0.2%,0.9%,3.2%
Ojai,city,All Homes,"$719,000",0.5%,3.0%,9.3%,7.9%,2.8%,16.5%,2.3%,1.3%,--1.6%,---,---,---,---,19.5%,8.6%,15.0%,6.5%,$466,0.9%,3.6%,11.0%,---,---,---,---,"$857,500",--0.6%,--24.1%,--21.7%,"$798,500",--5.3%,7.3%,23.7%,76.8%,--3.0%,--1.7%,0.3%,---,---,---,---,---,---,---,---,3.5%,--4.2%,--3.3%,--26.2%,$493,--0.6%,--5.3%,--4.2%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,839",0.2%,--0.3%,3.9%,$1.92,0.4%,0.8%,3.6%
Olivehurst,city,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$259,900",--3.4%,--5.8%,--11.1%,---,---,---,---,---,---,---,---,---,---,---,---,4.5%,1.7%,--6.6%,--3.4%,5.9%,--3.7%,--4.7%,--19.4%,$161,5.6%,9.0%,17.7%,---,---,---,---,---,---,---,---,2.008,--1.2%,--4.4%,0.7%,"$1,359",0.3%,--0.4%,0.4%,$0.95,1.1%,1.9%,7.2%
Ontario,city,All Homes,"$411,500",0.6%,2.2%,9.2%,10.2%,2.3%,3.9%,0.4%,--0.2%,2.2%,---,---,---,---,8.3%,1.9%,3.1%,1.0%,$281,0.7%,2.2%,8.9%,2.3%,--0.0%,0.1%,--0.6%,"$419,900",1.2%,1.2%,7.8%,"$414,200",3.6%,3.5%,13.0%,92.0%,--0.6%,1.0%,--4.6%,---,---,---,---,5.3%,2.3%,2.9%,2.6%,3.7%,--2.3%,--2.2%,--8.3%,$262,1.1%,2.6%,5.6%,"$2,050",2.5%,--1.2%,5.1%,$1.34,--1.9%,0.3%,4.8%,0.839,--0.4%,--0.9%,0.5%,"$2,061",0.5%,1.6%,8.0%,$1.46,0.3%,1.2%,6.7%
Orange,city,All Homes,"$692,600",0.4%,1.9%,5.9%,7.0%,2.6%,9.4%,--2.9%,--5.6%,1.2%,---,---,---,---,14.3%,4.0%,8.1%,1.9%,$390,0.3%,1.6%,6.8%,1.9%,--0.3%,0.9%,--0.0%,"$698,500",1.5%,1.2%,3.5%,---,---,---,---,82.8%,6.0%,11.5%,1.0%,---,---,---,---,1.1%,--1.0%,--0.8%,0.1%,3.6%,0.2%,2.1%,--8.1%,$398,--0.4%,4.4%,5.5%,"$2,800",--0.4%,0.0%,3.7%,$1.91,1.4%,2.4%,7.4%,0.361,--0.2%,0.0%,--0.6%,"$3,031",0.5%,1.2%,2.6%,$1.86,0.3%,0.9%,3.0%
Orange Cove,city,All Homes,"$152,800",2.3%,6.5%,7.7%,9.8%,--1.3%,26.4%,--5.0%,--15.9%,8.2%,---,---,---,---,---,---,---,---,$115,1.8%,6.5%,5.5%,---,---,---,---,---,---,---,---,---,---,---,---,64.7%,2.9%,14.5%,--8.8%,---,---,---,---,---,---,---,---,2.2%,6.9%,14.8%,--24.4%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,144",0.6%,2.9%,15.0%,$0.89,0.0%,0.0%,6.0%
Orangevale,city,All Homes,"$376,600",0.2%,2.3%,5.9%,8.4%,3.2%,12.0%,4.4%,0.7%,8.3%,---,---,---,---,10.7%,1.1%,2.3%,1.3%,$248,0.0%,2.1%,7.8%,---,---,---,---,"$385,000",--1.2%,2.7%,16.8%,"$386,700",0.4%,10.4%,9.3%,79.3%,--7.5%,0.2%,--13.3%,---,---,---,---,5.3%,2.7%,---,--6.0%,4.1%,--3.6%,--2.5%,--20.1%,$248,1.1%,1.1%,7.0%,---,---,---,---,---,---,---,---,---,---,---,---,"$1,826",0.5%,1.6%,7.2%,$1.20,0.3%,0.8%,6.6%
Orinda,city,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,$704,1.1%,2.9%,10.0%,---,---,---,---,---,---,---,---,"$1,481,700",11.0%,5.3%,16.9%,---,---,---,---,---,---,---,---,---,---,---,---,3.2%,0.5%,6.9%,--11.8%,$626,3.3%,10.0%,2.8%,---,---,---,---,---,---,---,---,---,---,---,---,"$5,160",--1.0%,--2.9%,--4.0%,$2.27,--0.7%,--2.3%,--2.5%
Orland,city,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$279,900",--1.6%,--0.0%,14.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3.1%,--8.7%,--11.3%,--24.2%,$177,--0.4%,1.2%,11.7%,---,---,---,---,---,---,---,---,4.075,2.3%,---,2.3%,"$1,364",0.1%,0.9%,3.6%,$1.02,0.0%,0.6%,4.7%
Orosi,city,All Homes,"$162,100",0.5%,1.6%,2.1%,8.4%,--0.3%,31.4%,12.2%,7.4%,28.0%,---,---,---,---,---,---,---,---,$123,0.0%,0.0%,5.1%,---,---,---,---,---,---,---,---,---,---,---,---,57.6%,--15.5%,--7.9%,--36.3%,---,---,---,---,---,---,---,---,1.6%,--10.0%,--3.6%,--15.6%,---,---,---,---,---,---,---,---,---,---,---,---,9.381,---,---,---,"$1,107",0.0%,--0.4%,2.0%,$0.89,0.5%,1.1%,4.0%
Oroville,city,All Homes,"$200,200",0.5%,0.9%,7.2%,9.2%,--0.1%,21.4%,1.4%,6.7%,14.9%,---,---,---,---,11.7%,3.8%,7.2%,1.6%,$140,--0.7%,--0.7%,7.7%,4.1%,0.8%,--0.0%,--0.1%,---,---,---,---,---,---,---,---,71.9%,--1.5%,--8.3%,--18.4%,---,---,---,---,2.2%,--2.4%,--2.4%,--12.8%,3.6%,--1.6%,11.7%,--22.2%,$159,0.7%,--5.5%,--0.6%,---,---,---,---,---,---,---,---,1.156,--0.0%,--0.9%,---,"$1,235",1.4%,5.6%,8.1%,$0.92,1.1%,3.6%,8.5%
Oxnard,city,All Homes,"$486,600",0.6%,2.9%,7.6%,9.5%,1.0%,8.4%,1.4%,0.0%,3.4%,---,---,---,---,10.6%,2.3%,4.9%,--2.3%,$310,0.3%,2.6%,6.9%,2.1%,--0.0%,0.3%,--0.4%,"$525,000",1.0%,1.2%,5.0%,"$488,800",--0.3%,--0.3%,2.9%,83.8%,--3.7%,--1.1%,--7.2%,---,---,---,---,5.1%,0.6%,--1.1%,0.6%,3.6%,0.4%,2.2%,--20.7%,$313,--0.3%,--2.4%,5.8%,"$2,800",5.6%,3.8%,7.6%,$1.82,--0.3%,7.1%,14.9%,1.786,--0.5%,--0.8%,0.3%,"$2,449",0.0%,--0.2%,1.9%,$1.60,0.3%,0.5%,3.0%
Pacific Grove,city,All Homes,"$886,800",0.4%,1.8%,5.8%,7.9%,3.0%,27.0%,--4.2%,--14.4%,13.4%,---,---,---,---,---,---,---,---,$666,0.2%,0.8%,5.9%,---,---,---,---,"$995,500",--1.8%,4.8%,14.8%,---,---,---,---,63.4%,4.3%,14.3%,--18.6%,---,---,---,---,---,---,---,---,3.4%,1.2%,9.2%,--5.7%,$706,1.5%,2.6%,7.1%,---,---,---,---,---,---,---,---,2.894,---,---,---,"$3,101",0.5%,2.0%,9.8%,$2.36,0.9%,2.0%,6.5%
Pacifica,city,All Homes,"$1,036,300",1.2%,4.3%,14.5%,12.0%,4.9%,1.7%,--0.4%,--0.9%,--0.7%,---,---,---,---,---,---,---,---,$777,1.2%,4.2%,15.8%,---,---,---,---,"$948,000",7.9%,8.7%,9.0%,---,---,---,---,97.9%,0.5%,1.2%,4.3%,---,---,---,---,---,---,---,---,2.9%,--4.0%,--3.8%,--5.9%,$717,12.9%,12.3%,10.0%,---,---,---,---,---,---,---,---,---,---,---,---,"$3,728",0.3%,1.6%,4.1%,$2.90,0.5%,1.8%,3.3%
Palm Desert,city,All Homes,"$334,700",0.1%,0.7%,6.7%,4.2%,0.3%,32.6%,--2.0%,--6.4%,--0.8%,---,---,---,---,21.3%,2.4%,9.9%,1.6%,$194,0.0%,1.0%,6.6%,3.2%,--0.1%,0.2%,--0.1%,"$389,000",2.4%,2.6%,8.1%,---,---,---,---,59.6%,2.4%,7.2%,4.8%,---,---,---,---,3.1%,--0.7%,1.7%,--0.7%,6.6%,1.5%,2.5%,--11.2%,$214,0.9%,2.5%,5.5%,---,---,---,---,---,---,---,---,2.104,0.4%,0.8%,0.8%,"$2,640",1.0%,2.8%,5.4%,$1.56,1.0%,3.0%,6.0%
Palm Springs,city,All Homes,"$407,400",--0.1%,1.2%,11.7%,9.0%,3.2%,33.4%,--2.0%,--1.3%,14.0%,---,---,---,---,19.1%,3.4%,4.4%,--0.3%,$241,0.4%,1.7%,8.1%,3.1%,0.1%,--0.2%,--0.1%,"$475,000",--2.1%,--3.5%,10.1%,---,---,---,---,60.5%,1.9%,1.8%,--13.3%,---,---,---,---,4.7%,--1.0%,2.4%,1.3%,5.2%,0.4%,0.8%,--20.9%,$275,--0.1%,2.9%,10.2%,"$2,400",0.0%,0.0%,23.1%,$1.72,--4.2%,--2.7%,18.7%,1.239,0.2%,0.5%,--0.7%,"$2,207",0.9%,3.3%,9.1%,$1.59,0.8%,2.6%,7.9%
Palmdale,city,All Homes,"$305,600",0.9%,3.2%,14.2%,14.0%,0.1%,2.4%,--0.5%,--1.1%,--1.6%,---,---,---,---,10.5%,--1.3%,4.2%,3.7%,$174,1.2%,3.6%,14.5%,2.2%,--0.2%,0.3%,--0.1%,"$309,900",1.8%,3.6%,10.7%,"$300,600",--0.1%,4.1%,11.1%,96.2%,0.9%,1.6%,2.3%,---,---,---,---,10.8%,--0.4%,3.0%,--2.1%,5.5%,--1.4%,--3.2%,--5.8%,$176,2.6%,5.0%,11.5%,"$1,750",--0.3%,--5.4%,9.4%,$1.04,1.4%,7.0%,9.7%,1.96,--0.1%,0.4%,0.0%,"$1,931",0.8%,2.4%,10.7%,$1.10,0.9%,2.6%,10.0%
Palo Alto,city,All Homes,"$3,336,400",2.0%,6.8%,18.6%,13.8%,9.5%,0.9%,--0.5%,--0.9%,--31.6%,---,---,---,---,---,---,---,---,"$1,880",1.9%,6.5%,19.5%,---,---,---,---,"$2,995,000",11.0%,3.7%,13.1%,"$3,072,600",1.6%,13.6%,26.6%,98.9%,0.6%,1.5%,47.0%,---,---,---,---,---,---,---,---,2.4%,0.7%,0.9%,--7.5%,"$1,669",7.6%,14.6%,16.5%,"$5,500",0.0%,0.9%,0.0%,$3.70,1.7%,4.1%,2.0%,---,---,---,---,"$6,430",1.5%,2.5%,4.3%,$3.76,0.9%,1.6%,3.6%
Palos Verdes Estates,city,All Homes,"$2,132,000",1.2%,3.3%,5.2%,5.6%,3.9%,29.1%,--7.3%,--21.4%,9.8%,---,---,---,---,---,---,---,---,$783,0.4%,2.0%,5.5%,---,---,---,---,---,---,---,---,"$1,747,700",0.5%,0.9%,--3.7%,64.0%,7.9%,22.3%,--8.9%,---,---,---,---,---,---,---,---,3.8%,--3.0%,--3.0%,3.2%,$780,--2.6%,--0.2%,3.0%,---,---,---,---,$2.11,--5.2%,--6.1%,--0.3%,---,---,---,---,"$6,937",0.0%,--1.5%,--13.1%,$2.67,--0.1%,--0.7%,--7.4%
Paradise,city,All Homes,"$248,200",--0.1%,0.7%,5.0%,9.1%,0.5%,14.5%,1.0%,3.8%,7.9%,---,---,---,---,12.6%,1.3%,3.0%,--0.2%,$163,0.0%,0.6%,7.9%,3.9%,1.2%,1.0%,1.7%,"$287,200",4.6%,4.5%,1.1%,---,---,---,---,79.1%,--1.4%,--5.5%,--9.9%,---,---,---,---,1.0%,--2.2%,--3.1%,--4.1%,4.8%,--3.1%,1.6%,--8.8%,$184,1.5%,3.2%,12.3%,---,---,---,---,---,---,---,---,0.584,--0.7%,--0.6%,---,"$1,305",0.6%,1.2%,0.4%,$0.90,0.9%,3.0%,5.4%
Paramount,city,All Homes,"$416,800",0.5%,2.4%,11.3%,11.3%,1.2%,4.7%,--0.6%,--0.6%,1.0%,---,---,---,---,---,---,---,---,$326,0.3%,1.2%,7.9%,---,---,---,---,"$349,900",--0.7%,0.7%,12.9%,"$362,300",1.1%,17.6%,6.7%,90.7%,0.9%,0.2%,--3.0%,---,---,---,---,---,---,---,---,2.7%,--1.9%,--1.3%,--14.0%,$328,--2.0%,2.0%,19.9%,---,---,---,---,---,---,---,---,1.462,--0.6%,---,---,"$2,237",0.2%,0.9%,6.1%,$1.95,0.6%,1.5%,5.8%
Parlier,city,All Homes,"$169,000",--0.2%,0.6%,3.9%,10.0%,--0.6%,19.2%,--0.4%,---,10.6%,---,---,---,---,---,---,---,---,$138,0.0%,0.7%,7.8%,---,---,---,---,---,---,---,---,---,---,---,---,74.5%,--0.7%,--1.4%,--14.8%,---,---,---,---,---,---,---,---,2.1%,--5.9%,0.0%,17.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,188",0.2%,1.3%,8.5%,$0.96,0.2%,0.8%,9.1%
Pasadena,city,All Homes,"$810,100",0.7%,2.3%,8.7%,7.3%,3.2%,11.4%,--2.6%,--5.1%,--3.1%,---,---,---,---,8.3%,1.2%,2.5%,1.3%,$561,0.5%,2.4%,9.4%,3.9%,--0.5%,1.3%,--1.2%,"$899,000",0.0%,0.3%,5.9%,"$765,900",--2.1%,--1.1%,8.9%,84.6%,3.4%,6.4%,8.0%,---,---,---,---,1.7%,0.2%,--0.3%,--0.8%,3.6%,0.8%,--2.7%,--21.8%,$585,--0.9%,0.9%,9.0%,"$2,700",--0.2%,--0.1%,--0.2%,$2.26,--0.5%,--0.9%,--1.4%,---,---,---,---,"$2,975",0.6%,1.2%,3.4%,$2.18,0.3%,0.8%,3.5%
Paso Robles,city,All Homes,"$489,600",0.4%,1.5%,9.5%,8.0%,1.8%,7.5%,--0.4%,--1.5%,--5.9%,---,---,---,---,14.9%,5.0%,7.4%,3.0%,$280,0.4%,0.7%,7.7%,2.3%,0.3%,--0.1%,0.3%,"$545,000",--0.5%,--0.7%,3.8%,---,---,---,---,89.8%,1.2%,3.7%,11.5%,---,---,---,---,5.1%,--0.1%,2.0%,0.2%,5.1%,--2.3%,--0.1%,--9.9%,$290,0.0%,--3.5%,5.4%,---,---,---,---,---,---,---,---,1.468,--0.6%,0.7%,0.9%,"$2,208",--0.7%,--2.4%,0.1%,$1.33,--0.5%,--1.5%,2.2%
Patterson,city,All Homes,"$342,700",0.9%,3.6%,13.2%,14.4%,2.6%,0.4%,--0.1%,--0.5%,--2.3%,---,---,---,---,11.0%,7.6%,--0.4%,3.0%,$168,1.2%,5.0%,14.3%,---,---,---,---,"$370,000",2.9%,5.7%,8.8%,---,---,---,---,99.2%,0.0%,1.1%,4.2%,---,---,---,---,5.4%,--2.1%,--1.6%,--3.2%,5.4%,--2.9%,--4.2%,--13.1%,$162,--1.0%,--2.6%,5.6%,---,---,---,---,---,---,---,---,0.855,--0.6%,--0.2%,--0.6%,"$1,683",0.5%,1.9%,3.1%,$0.82,0.5%,1.0%,3.5%
Penn Valley,city,All Homes,"$384,200",1.3%,4.0%,11.4%,7.8%,--0.5%,15.8%,1.8%,--0.5%,--4.7%,---,---,---,---,---,---,---,---,$205,1.5%,4.6%,11.4%,---,---,---,---,"$379,500",--4.9%,--5.7%,--3.9%,---,---,---,---,81.1%,--1.4%,0.8%,10.2%,---,---,---,---,---,---,---,---,5.4%,--11.5%,--24.4%,--26.9%,$209,1.0%,--2.0%,3.7%,---,---,---,---,---,---,---,---,---,---,---,---,"$1,820",--0.1%,--0.3%,1.0%,$0.98,--0.2%,--1.6%,--0.2%
Perris,city,All Homes,"$307,500",0.5%,2.0%,11.4%,13.1%,1.1%,4.8%,--0.4%,--1.6%,0.9%,---,---,---,---,12.6%,2.7%,5.2%,4.9%,$168,0.6%,2.4%,10.5%,1.6%,--1.2%,--1.7%,--0.6%,"$324,500",--0.8%,1.4%,13.3%,"$301,400",0.7%,--0.1%,9.4%,92.9%,0.4%,2.8%,--1.5%,---,---,---,---,5.8%,--0.3%,--1.8%,0.0%,5.0%,1.0%,1.9%,--3.9%,$180,0.3%,5.0%,10.6%,"$1,790",5.6%,5.6%,8.8%,$0.96,3.8%,8.0%,2.4%,3.459,0.7%,2.3%,2.3%,"$1,747",0.4%,1.2%,5.9%,$1.04,0.6%,1.8%,5.7%
Petaluma,city,All Homes,"$717,500",0.7%,2.3%,9.3%,10.5%,3.7%,6.8%,2.0%,--2.2%,1.4%,---,---,---,---,8.6%,--0.7%,2.8%,4.1%,$431,0.5%,2.4%,9.7%,4.4%,0.6%,--0.2%,1.1%,"$749,000",0.5%,1.6%,7.2%,---,---,---,---,88.6%,--3.7%,3.5%,--2.4%,---,---,---,---,1.5%,--1.3%,---,--2.8%,3.4%,0.6%,0.0%,--10.2%,$422,--5.5%,4.5%,12.8%,"$2,850",0.0%,1.8%,3.6%,$1.97,6.2%,0.2%,12.9%,0.285,---,---,--0.2%,"$2,916",1.5%,4.5%,8.0%,$1.83,1.7%,5.2%,9.2%
Phelan,city,All Homes,"$277,300",0.5%,1.6%,8.7%,11.8%,--0.0%,12.4%,--0.5%,--3.3%,5.1%,---,---,---,---,---,---,---,---,$139,0.7%,2.2%,11.2%,---,---,---,---,"$292,400",1.2%,4.4%,1.2%,"$260,200",--2.2%,--1.9%,--0.1%,82.1%,0.8%,4.4%,--5.7%,---,---,---,---,---,---,---,---,5.0%,--5.5%,--8.5%,--12.0%,$159,1.0%,2.7%,11.8%,---,---,---,---,---,---,---,---,2.056,---,---,---,"$1,467",1.1%,2.1%,4.2%,$0.80,0.8%,2.6%,7.2%
Pico Rivera,city,All Homes,"$476,500",0.2%,1.3%,7.9%,9.0%,1.4%,2.2%,--0.6%,--0.5%,1.5%,---,---,---,---,11.5%,6.6%,6.6%,2.6%,$377,0.3%,1.3%,7.1%,---,---,---,---,"$470,000",0.1%,4.5%,6.8%,---,---,---,---,93.6%,1.6%,0.5%,--5.1%,---,---,---,---,8.4%,--4.8%,--0.3%,0.7%,2.7%,1.4%,2.6%,--1.1%,$360,0.4%,2.6%,6.6%,---,---,---,---,---,---,---,---,0.528,0.0%,--0.9%,---,"$2,312",0.3%,0.1%,2.1%,$1.85,0.3%,0.2%,2.3%
Piedmont,city,All Homes,"$2,369,000",0.8%,4.2%,8.0%,9.2%,7.2%,3.7%,--2.7%,--3.0%,--15.9%,---,---,---,---,---,---,---,---,$974,0.8%,4.2%,10.4%,---,---,---,---,---,---,---,---,---,---,---,---,95.1%,3.5%,4.2%,21.6%,---,---,---,---,---,---,---,---,2.4%,--5.2%,--3.2%,--12.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$6,581",--0.2%,--0.6%,--3.7%,$2.77,0.0%,0.7%,2.1%
Pinole,city,All Homes,"$564,500",1.3%,3.4%,9.9%,13.9%,3.0%,1.8%,--1.5%,--7.0%,--0.2%,---,---,---,---,---,---,---,---,$363,1.4%,3.4%,9.0%,---,---,---,---,"$577,500",2.4%,12.8%,13.2%,"$599,400",5.0%,18.7%,28.2%,96.7%,3.9%,14.9%,0.5%,---,---,---,---,---,---,---,---,3.5%,--1.9%,--0.5%,--8.7%,$389,7.4%,17.8%,20.5%,---,---,---,---,---,---,---,---,1.012,---,---,---,"$2,685",0.2%,1.1%,6.5%,$1.78,0.0%,0.5%,6.1%
Pittsburg,city,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5.3%,1.4%,--2.2%,2.7%,---,---,---,---,---,---,---,---,"$430,000",4.9%,2.4%,7.8%,---,---,---,---,---,---,---,---,---,---,---,---,9.4%,1.2%,--6.3%,1.8%,4.2%,0.8%,3.6%,--6.1%,$274,1.0%,3.4%,11.8%,"$2,250",1.1%,2.5%,5.4%,$1.48,0.2%,1.1%,--0.3%,1.217,--0.3%,--0.5%,0.6%,"$2,238",0.0%,0.0%,5.5%,$1.55,0.0%,0.1%,6.3%
Placentia,city,All Homes,"$693,300",0.5%,1.8%,5.0%,6.2%,2.5%,5.2%,--3.8%,--8.1%,--2.5%,---,---,---,---,13.0%,2.7%,6.2%,3.2%,$363,0.3%,1.4%,4.6%,1.7%,--0.2%,0.0%,--0.0%,"$689,900",3.1%,6.3%,6.1%,"$695,100",3.0%,14.4%,12.2%,88.2%,7.2%,18.8%,7.7%,---,---,---,---,2.2%,0.4%,---,--1.8%,3.6%,0.4%,--0.8%,--3.6%,$372,2.6%,7.4%,11.3%,"$2,750",8.9%,5.8%,1.9%,---,---,---,---,0.531,---,---,---,"$3,010",0.1%,0.5%,2.2%,$1.74,0.1%,0.5%,2.4%
Placerville,city,All Homes,"$401,000",0.6%,1.9%,7.4%,9.4%,1.2%,10.6%,--0.4%,0.2%,7.3%,---,---,---,---,18.3%,5.5%,6.7%,8.5%,$240,0.8%,2.6%,9.6%,3.6%,--0.5%,0.9%,1.3%,"$475,000",1.9%,6.3%,5.6%,---,---,---,---,84.1%,0.5%,--0.5%,--9.5%,---,---,---,---,5.9%,4.2%,3.1%,1.3%,4.3%,2.1%,0.7%,--17.1%,$252,1.1%,0.4%,7.4%,---,---,---,---,---,---,---,---,0.78,--0.5%,--0.3%,---,"$1,800",0.5%,0.9%,5.0%,$1.18,0.2%,0.0%,4.4%
Pleasant Hill,city,All Homes,"$757,500",1.1%,2.9%,8.1%,10.9%,4.3%,4.9%,--3.6%,--6.7%,3.8%,---,---,---,---,---,---,---,---,$464,1.1%,2.7%,7.7%,---,---,---,---,"$725,000",2.3%,10.0%,10.8%,"$717,900",3.0%,4.9%,5.2%,89.0%,6.7%,8.7%,--8.3%,---,---,---,---,1.5%,--1.5%,--0.5%,--3.3%,3.8%,--1.9%,--1.6%,--16.4%,$452,--2.7%,5.8%,7.9%,"$2,700",--1.5%,6.9%,--0.9%,$2.20,6.5%,5.5%,10.2%,---,---,---,---,"$3,043",--0.1%,--0.1%,4.0%,$1.94,0.1%,0.3%,2.9%
Pleasanton,city,All Homes,"$1,135,400",1.0%,4.3%,12.9%,8.3%,5.1%,2.1%,--2.8%,--4.0%,--4.5%,---,---,---,---,5.0%,0.8%,1.1%,--3.2%,$581,0.9%,3.9%,10.7%,---,---,---,---,"$1,182,500",--1.4%,12.1%,18.5%,---,---,---,---,96.6%,5.9%,8.2%,12.1%,---,---,---,---,0.6%,--0.5%,---,--2.0%,3.7%,--4.2%,--1.6%,--2.3%,$548,4.0%,6.2%,9.0%,"$3,400",--2.9%,--2.9%,--2.9%,$2.08,1.9%,--0.8%,--2.1%,---,---,---,---,"$3,520",--0.1%,0.4%,1.1%,$1.89,--0.2%,0.1%,1.1%
